Index,Height(Inches),Weight(Pounds),Gender
261,70.16973,121.9957,Boy
262,67.85113,123.9952,Boy
263,66.62309,108.855,Boy
264,63.68816,104.6574,Boy
265,68.0356,132.248,GIRL
266,66.941,127.1834,GIRL
267,66.26292,125.1209,GIRL
268,70.7301,133.322,Boy
269,70.70844,122.3364,Boy
270,73.26872,130.2636,Boy
271,63.79021,116.7431,GIRL
272,67.84109,125.8534,Boy
273,67.78058,100.627,Boy
274,67.23901,118.4945,Boy
275,66.75701,137.1255,GIRL
276,69.03098,118.6991,Boy
277,68.52652,124.1641,Boy
278,64.65419,124.9442,GIRL
279,65.14295,126.3889,GIRL
280,66.74124,121.5255,Boy
281,66.99923,133.2951,GIRL
282,70.26611,127.4072,Boy
283,67.57666,125.08,Boy
284,66.30582,102.8114,Boy
285,68.90702,134.2212,GIRL
286,65.60543,100.9758,Boy
287,68.00189,145.8886,GIRL
288,69.93715,155.3046,GIRL
289,70.1459,138.7175,GIRL
290,66.66364,116.2611,Boy
291,69.40676,120.6087,Boy
292,66.80598,114.4083,Boy
293,67.70048,133.3406,GIRL
294,69.13438,92.74955,Boy
295,67.53769,131.7825,GIRL
296,65.77912,118.3865,Boy
297,66.25769,131.1466,GIRL
298,67.39038,130.2033,GIRL
299,64.94327,129.1836,GIRL
300,69.25699,143.1445,GIRL
301,69.07739,138.7307,GIRL
302,69.64403,130.9528,Boy
303,69.07705,124.3032,Boy
304,68.01304,135.3702,GIRL
305,68.85664,124.1988,Boy
306,63.19158,111.2389,GIRL
307,65.57591,129.4037,GIRL
308,69.12101,127.7444,Boy
309,69.78765,121.3311,Boy
310,67.48203,118.2183,Boy
311,69.08809,123.3441,Boy
312,68.5529,151.9118,GIRL
313,68.21327,115.3108,Boy
314,67.1012,122.3844,Boy
315,71.23661,129.2323,Boy
316,69.11946,138.2824,GIRL
317,65.49848,144.0565,GIRL
318,66.58706,120.8482,Boy
319,67.99831,113.3034,Boy
320,72.57747,149.3227,GIRL
321,67.97585,130.6373,GIRL
322,66.62347,122.387,GIRL
323,67.29574,133.8677,GIRL
324,65.95951,134.8336,GIRL
325,66.54011,137.8363,GIRL
326,68.07723,112.6812,Boy
327,65.83291,121.1964,GIRL
328,69.23721,114.9262,Boy
329,64.69413,110.3762,Boy
330,69.21372,126.0337,Boy
331,67.16792,118.7008,Boy
332,67.8467,119.3108,Boy
333,69.27389,150.7397,GIRL
334,67.90547,121.1142,Boy
335,67.076,118.4065,Boy
336,70.01531,142.759,GIRL
337,70.05454,145.6305,GIRL
338,70.86714,127.3425,Boy
339,66.0586,115.9678,Boy
340,65.23745,104.4441,Boy
341,68.7413,138.4905,GIRL
342,69.51946,145.5049,GIRL
343,70.30764,124.4065,Boy
344,67.29982,124.1866,Boy
345,67.60582,126.1659,GIRL
346,67.85566,138.8125,GIRL
347,66.46536,121.5515,GIRL
348,68.92071,114.2555,Boy
349,68.46886,129.4022,GIRL
350,69.5193,137.5583,GIRL
351,70.23956,134.4996,Boy
352,67.85651,127.7103,GIRL
353,68.00435,115.6709,Boy
354,67.13983,131.5906,GIRL
355,68.09931,127.5839,GIRL
356,68.99077,125.7211,Boy
357,69.32618,119.9885,Boy
358,70.09286,140.8676,GIRL
359,68.74304,136.9164,GIRL
360,64.18633,118.4759,GIRL
361,66.09074,129.5516,GIRL
362,69.24418,152.0714,GIRL
363,69.66512,120.8646,Boy
364,68.42721,136.1027,GIRL
365,68.28613,130.0611,GIRL
366,69.37684,131.7743,Boy
367,68.35315,139.38,GIRL
368,72.32489,168.229,GIRL
369,70.37159,127.6446,Boy
370,65.72927,131.8008,GIRL
371,66.49627,122.8561,GIRL
372,70.81339,140.2133,GIRL
373,67.37579,142.6929,GIRL
374,67.79709,137.4299,GIRL
375,68.1607,126.0392,Boy
376,68.85782,143.5985,GIRL
377,67.71342,122.62,Boy
378,64.66007,108.6044,Boy
379,65.73721,100.6617,Boy
380,68.42441,116.1397,Boy
381,68.88946,140.5293,GIRL
382,68.27367,125.6907,Boy
383,69.18045,134.3329,GIRL
384,72.60996,136.4649,Boy
385,66.04157,127.8822,GIRL
386,69.2288,123.1361,Boy
387,68.87697,116.3375,Boy
388,66.46042,124.5581,GIRL
389,69.30444,125.7853,Boy
390,67.58249,107.5905,Boy
391,69.41816,143.0236,GIRL
392,67.46867,118.7434,Boy
393,66.44873,118.9856,Boy
394,68.76185,131.8744,GIRL
395,63.76881,119.3691,GIRL
396,69.03663,126.1223,Boy
397,66.48966,126.6122,GIRL
398,66.74224,113.5597,Boy
399,67.69394,115.8413,Boy
400,66.69066,130.2738,GIRL
401,67.02877,125.4542,GIRL
402,65.91096,117.1655,Boy
403,70.0304,137.3184,GIRL
404,69.26978,149.4447,GIRL
405,70.07695,151.0695,GIRL
406,64.90942,116.9994,GIRL
407,69.68744,138.1787,GIRL
408,67.56524,127.621,GIRL
409,63.85529,120.7514,GIRL
410,71.6189,144.2537,GIRL
411,64.98993,105.7939,Boy
412,64.60759,120.1567,GIRL
413,62.01666,109.0848,GIRL
414,65.28516,125.971,GIRL
415,67.70163,110.2325,Boy
416,70.85794,134.4706,Boy
417,68.17075,115.5067,Boy
418,67.45006,125.1086,GIRL
419,71.04224,116.4113,Boy
420,67.83032,133.3944,GIRL
421,67.15488,108.7478,Boy
422,68.30289,134.3986,GIRL
423,65.41208,131.2085,GIRL
424,68.66755,130.8318,GIRL
425,70.06733,127.0838,Boy
426,69.13413,119.4067,Boy
427,67.02078,105.5616,Boy
428,65.52274,134.4733,GIRL
429,70.19808,132.6897,Boy
430,67.66866,126.058,GIRL
431,69.73257,126.3532,Boy
432,67.61719,142.3603,GIRL
433,70.79589,124.5873,Boy
434,69.65804,122.3604,Boy
435,66.73277,123.2298,GIRL
436,67.58008,131.4049,GIRL
437,65.25317,124.3037,GIRL
438,70.71387,128.3836,Boy
439,71.27374,136.853,Boy
440,66.55913,118.0569,Boy
441,68.04247,121.4969,Boy
442,68.11699,119.2811,Boy
443,71.2367,126.5545,Boy
444,66.92387,129.2477,GIRL
445,71.10381,134.7804,Boy
446,69.41466,146.0725,GIRL
447,69.16807,162.4109,GIRL
448,68.57725,130.1885,GIRL
449,69.60315,132.1941,Boy
450,69.05087,127.4591,Boy
451,68.28699,125.3466,Boy
452,69.25276,134.7559,GIRL
453,68.23862,121.9395,Boy
454,67.6868,125.6688,Boy
455,68.84083,145.956,GIRL
456,69.52061,119.9207,Boy
457,66.97668,111.5093,Boy
458,72.0053,138.676,Boy
459,67.44482,135.0151,GIRL
460,66.06214,116.509,Boy
461,65.5747,123.9575,GIRL
462,68.30171,136.952,GIRL
463,71.02603,153.0797,GIRL
464,70.76882,126.357,Boy
465,67.50812,145.0614,GIRL
466,69.50936,135.1739,GIRL
467,66.4455,108.806,Boy
468,68.5689,110.5155,Boy
469,67.01296,138.2685,GIRL
470,68.70004,119.5111,Boy
471,68.23013,115.3214,Boy
472,70.40713,132.3684,Boy
473,65.69989,93.99438,Boy
474,65.7031,127.4051,GIRL
475,68.48055,134.3024,GIRL
476,66.62891,124.9721,GIRL
477,66.84285,124.072,GIRL
478,69.89734,133.5476,Boy
479,67.6543,134.1509,GIRL
480,68.30917,130.2489,GIRL
481,69.74848,138.0935,GIRL
482,68.57906,126.6064,Boy
483,68.14477,131.8076,GIRL
484,67.98093,131.7363,GIRL
485,64.82535,117.6261,GIRL
486,69.20785,126.1943,Boy
487,69.2656,127.5132,Boy
488,70.9403,142.4785,GIRL
489,69.07826,139.444,GIRL
490,66.20183,110.3204,Boy
491,71.05779,131.9541,Boy
492,68.99493,129.2037,Boy
493,70.96089,124.3513,Boy
494,66.02496,126.5251,GIRL
495,69.8641,149.2303,GIRL
496,66.82802,142.1577,GIRL
497,69.09424,127.1436,Boy
498,66.81425,122.3353,Boy
499,67.13183,112.6659,Boy
500,64.57428,134.2647,GIRL
501,68.68038,120.6936,Boy
502,67.53724,115.783,Boy
503,71.17732,128.6855,Boy
504,70.53514,134.7611,Boy
505,71.53411,118.3419,Boy
506,66.77301,106.1557,Boy
507,66.33636,126.3823,GIRL
508,64.83095,114.3716,Boy
509,68.38247,130.2787,GIRL
510,68.05038,123.3066,Boy
511,69.09149,122.8571,Boy
512,69.91046,125.6932,Boy
513,68.40737,111.7247,Boy
514,68.32559,125.5516,Boy
515,66.95555,119.9702,Boy
516,70.54816,132.6043,Boy
517,69.37805,132.6738,GIRL
518,67.52012,117.4521,Boy
519,64.87142,101.8549,Boy
520,69.13396,128.4418,Boy
521,68.81192,134.0414,GIRL
522,67.56446,127.7511,GIRL
523,68.16772,127.6172,GIRL
524,65.80687,139.3971,GIRL
525,64.92276,113.9381,Boy
526,68.35584,147.5188,GIRL
527,66.71546,132.6523,GIRL
528,69.18196,132.8139,GIRL
529,65.88795,105.0942,Boy
530,66.03733,127.5187,GIRL
531,69.44194,130.7305,Boy
532,67.14847,128.5815,GIRL
533,65.69442,122.5699,GIRL
534,69.42723,157.2961,GIRL
535,66.54503,121.1097,Boy
536,69.04469,147.5061,GIRL
537,67.62036,117.493,Boy
538,69.59105,132.4472,Boy
539,68.12343,118.1774,Boy
540,71.22641,123.7319,Boy
541,66.43285,130.365,GIRL
542,66.31808,122.8882,GIRL
543,68.02724,107.8693,Boy
544,68.2876,118.591,Boy
545,66.91609,125.6467,GIRL
546,71.77546,148.6016,GIRL
547,66.04535,150.279,GIRL
548,69.01455,127.0678,Boy
549,68.70744,128.7122,Boy
550,65.012,118.4233,GIRL
551,66.05857,125.3879,GIRL
552,71.16403,149.2676,GIRL
553,67.55274,107.3484,Boy
554,68.83455,133.6992,GIRL
555,68.11811,124.8508,Boy
556,67.90528,112.7028,Boy
557,67.64085,127.8407,GIRL
558,69.78282,134.1615,GIRL
559,67.99889,138.6031,GIRL
560,69.41465,126.044,Boy
561,70.42989,129.5856,Boy
562,67.67519,134.1054,GIRL
563,67.88036,106.1251,Boy
564,68.06905,127.0561,Boy
565,66.99435,121.9241,Boy
566,71.57689,150.7365,GIRL
567,64.36564,116.0061,GIRL
568,67.93011,125.4748,Boy
569,69.91863,131.6099,Boy
570,69.93864,129.0696,Boy
571,66.79766,129.1117,GIRL
572,70.11119,148.1624,GIRL
573,68.94814,105.388,Boy
574,68.02886,110.5447,Boy
575,69.36148,118.6402,Boy
576,68.44886,122.8151,Boy
577,65.70282,124.887,GIRL
578,69.55674,135.7695,GIRL
579,65.84635,116.4563,Boy
580,68.79983,125.3617,Boy
581,69.03835,133.122,GIRL
582,67.36352,138.3328,GIRL
583,70.35788,124.4972,Boy
584,69.88828,136.7205,GIRL
585,65.15319,115.0153,Boy
586,69.40907,132.6366,GIRL
587,68.50874,143.1323,GIRL
588,65.71552,134.7422,GIRL
589,63.98308,122.6246,GIRL
590,70.07685,153.5634,GIRL
591,68.42542,126.289,Boy
592,68.23665,134.7206,GIRL
593,67.82856,134.5987,GIRL
594,66.31277,118.3945,Boy
595,69.75128,121.2997,Boy
596,65.70901,132.2844,GIRL
597,66.88227,139.0617,GIRL
598,67.2791,110.698,Boy
599,70.63357,154.1073,GIRL
600,69.9377,124.1592,Boy
601,65.87671,134.5173,GIRL
602,72.44694,138.2622,Boy
603,70.07052,149.0801,GIRL
604,67.68486,127.0075,GIRL
605,66.1151,117.8222,Boy
606,69.94355,148.9096,GIRL
607,68.24317,128.2151,GIRL
608,68.80144,129.6944,Boy
609,66.61818,125.5674,GIRL
610,70.18701,128.7947,Boy
611,65.58971,124.187,GIRL
612,68.69566,151.4167,GIRL
613,64.88639,106.9803,Boy
614,69.81993,145.6221,GIRL
615,66.33962,121.5926,GIRL
616,70.4434,130.9386,Boy
617,69.99163,135.6203,GIRL
618,70.13617,123.9315,Boy
619,67.1793,131.9955,GIRL
620,68.2034,117.484,Boy
621,67.76121,129.6577,GIRL
622,64.79753,122.3706,GIRL
623,66.47871,114.5867,Boy
624,66.98337,116.5401,Boy
625,65.69991,139.4307,GIRL
626,66.82705,123.4822,GIRL
627,66.35141,132.5492,GIRL
628,70.13491,143.4013,GIRL
629,70.11565,132.9429,Boy
630,64.56145,98.8972,Boy
631,68.15724,122.4342,Boy
632,67.1475,104.6767,Boy
633,70.88927,142.7847,GIRL
634,68.16218,130.9283,GIRL
635,71.19657,143.827,GIRL
636,67.92444,142.2832,GIRL
637,65.30204,107.9441,Boy
638,66.40756,105.6891,Boy
639,71.30647,125.4007,Boy
640,69.05997,106.4195,Boy
641,65.95442,118.5371,Boy
642,69.63776,136.7836,GIRL
643,71.10495,145.9328,GIRL
644,66.21851,129.637,GIRL
645,66.13469,108.4955,Boy
646,67.7851,121.2537,Boy
647,66.67737,135.7399,GIRL
648,69.99408,137.5026,GIRL
649,71.1441,124.0052,Boy
650,68.63927,128.8613,Boy
651,69.08548,133.6811,GIRL
652,67.97389,106.5185,Boy
653,65.94809,113.0398,Boy
654,66.02102,125.9639,GIRL
655,71.23576,140.2945,GIRL
656,67.52674,143.229,GIRL
657,71.06935,145.8063,GIRL
658,68.27178,128.1697,GIRL
659,67.31932,134.1839,GIRL
660,68.98848,140.2166,GIRL
661,68.404,146.3453,GIRL
662,67.092,132.0784,GIRL
663,66.76866,122.13,Boy
664,65.64636,131.4693,GIRL
665,65.34105,129.5167,GIRL
666,68.18299,125.7451,Boy
667,70.65924,153.1384,GIRL
668,65.94401,124.5559,GIRL
669,69.62792,134.8225,GIRL
670,68.29965,115.3877,Boy
671,70.06075,117.9618,Boy
672,68.43602,124.5647,Boy
673,69.27012,134.4043,GIRL
674,67.70511,129.3092,GIRL
675,70.89315,133.1423,Boy
676,70.54313,147.3609,GIRL
677,71.58086,155.0132,GIRL
678,68.42301,126.2905,Boy
679,69.35781,134.4605,GIRL
680,70.445,134.0296,Boy
681,67.38153,128.9248,GIRL
682,67.50767,123.0543,Boy
683,68.52054,112.1788,Boy
684,66.80858,111.7443,Boy
685,72.38532,148.4615,GIRL
686,68.51642,136.7459,GIRL
687,70.79791,133.2068,Boy
688,66.21905,116.8855,Boy
689,68.31167,124.8542,Boy
690,67.1715,121.5809,Boy
691,67.7714,123.197,Boy
692,67.47328,137.1255,GIRL
693,67.77463,121.4941,Boy
694,69.20099,150.9398,GIRL
695,70.04297,142.3009,GIRL
696,70.56979,134.7527,Boy
697,66.45379,133.5585,GIRL
698,67.68132,136.0895,GIRL
699,65.75638,95.20216,Boy
700,69.3549,119.7404,Boy
701,70.5902,152.9146,GIRL
702,67.27626,140.1991,GIRL
703,68.48853,145.2503,GIRL
704,67.02188,119.4855,Boy
705,65.77613,123.512,GIRL
706,65.96579,110.6754,Boy
707,68.18868,111.4951,Boy
708,72.08595,139.4849,Boy
709,66.85358,133.088,GIRL
710,69.10929,133.5196,GIRL
711,64.5909,112.7698,Boy
712,67.03849,124.7975,GIRL
713,68.99156,123.4224,Boy
714,70.59872,142.0921,GIRL
715,70.08988,116.2814,Boy
716,65.6844,131.1256,GIRL
717,67.0982,131.2493,GIRL
718,66.03932,127.2422,GIRL
719,69.26423,122.4523,Boy
720,66.61351,115.2431,Boy
721,68.11738,126.9532,Boy
722,69.73059,143.4439,GIRL
723,64.02042,125.377,GIRL
724,66.23753,109.0095,Boy
725,72.46761,139.2411,Boy
726,66.21938,102.182,Boy
727,71.2978,144.3898,GIRL
728,63.1255,83.08527,Boy
729,70.93034,145.3938,GIRL
730,68.25489,134.9267,GIRL
731,64.78014,134.678,GIRL
732,65.42982,111.4963,Boy
733,68.91361,119.7951,Boy
734,64.96937,95.70426,Boy
735,66.15237,117.159,Boy
736,65.98386,127.2356,GIRL
737,69.2435,144.9205,GIRL
738,68.31982,122.8464,Boy
739,70.11607,134.19,Boy
740,68.63521,124.9776,Boy
741,67.74289,135.8441,GIRL
742,64.58641,120.8222,GIRL
743,64.66165,125.0174,GIRL
744,65.90771,133.5474,GIRL
745,65.77649,124.5583,GIRL
746,67.1506,135.9691,GIRL
747,72.24339,143.5738,GIRL
748,68.73199,130.5725,GIRL
749,67.57019,127.192,GIRL
750,70.36234,141.2372,GIRL
751,63.62233,107.4236,Boy
752,66.20711,122.3234,GIRL
753,66.22114,111.6055,Boy
754,70.0722,137.8915,GIRL
755,69.6563,142.8742,GIRL
756,66.25043,114.4349,Boy
757,68.0704,128.2736,GIRL
758,67.14808,134.5725,GIRL
759,68.76609,140.1034,GIRL
760,68.12075,121.977,Boy
761,65.72987,111.4248,Boy
762,69.17439,135.0756,GIRL
763,70.36351,132.9826,Boy
764,70.78557,117.7566,Boy
765,70.88083,134.9877,Boy
766,66.62148,151.6121,GIRL
767,69.9829,128.9287,Boy
768,66.92866,120.1575,Boy
769,71.45806,125.6007,Boy
770,69.66344,127.8292,Boy
771,69.30943,136.1354,GIRL
772,66.59775,116.2841,Boy
773,64.20209,127.0777,GIRL
774,68.23051,125.7165,Boy
775,70.09021,121.0749,Boy
776,70.9755,122.7382,Boy
777,64.93134,119.4545,GIRL
778,66.90106,132.9048,GIRL
779,69.19803,132.8687,GIRL
780,68.4149,124.3486,Boy
781,66.3163,132.2198,GIRL
782,72.13467,142.804,Boy
783,65.74613,129.605,GIRL
784,69.96677,128.5326,Boy
785,65.11417,112.9919,Boy
786,67.43294,122.0795,Boy
787,66.39785,118.396,Boy
788,67.18769,130.1299,GIRL
789,67.68597,111.6824,Boy
790,67.77469,142.2452,GIRL
791,63.62937,122.6049,GIRL
792,66.447,122.8198,GIRL
793,71.9233,119.1123,Boy
794,67.92214,139.4335,GIRL
795,68.01143,141.3353,GIRL
796,67.76524,119.787,Boy
797,69.19791,136.326,GIRL
798,67.00109,118.4099,Boy
799,67.09659,137.692,GIRL
800,69.85144,129.078,Boy
801,67.42782,123.4642,Boy
802,68.1104,115.4311,Boy
803,68.29433,129.931,GIRL
804,69.45176,135.9563,GIRL
805,69.08219,127.8134,Boy
806,70.91753,139.1014,GIRL
807,64.20566,109.2132,Boy
808,71.10315,124.6154,Boy
809,72.08523,136.221,Boy
810,66.15119,120.4722,GIRL
811,67.52898,116.1659,Boy
812,67.17586,115.5093,Boy
813,72.92955,141.9961,Boy
814,65.54112,135.4869,GIRL
815,69.08487,135.1305,GIRL
816,65.28991,108.2494,Boy
817,68.53447,125.1277,Boy
818,71.32802,142.8947,GIRL
819,66.88095,128.2978,GIRL
820,67.91196,128.268,GIRL
821,67.00238,103.5665,Boy
822,68.27584,156.1069,GIRL
823,66.20276,104.9661,Boy
824,64.24214,121.6365,GIRL
825,67.43738,132.0066,GIRL
826,64.50081,118.4079,GIRL
827,68.89607,135.3898,GIRL
828,70.32908,140.6633,GIRL
829,64.31742,111.6703,Boy
830,67.11253,128.0328,GIRL
831,68.01206,130.4737,GIRL
832,68.25267,128.2127,GIRL
833,67.76873,142.8202,GIRL
834,67.44291,123.0804,Boy
835,65.73581,117.8771,Boy
836,69.64372,130.9274,Boy
837,71.92818,129.1735,Boy
838,69.39435,144.5784,GIRL
839,67.14717,115.8635,Boy
840,69.1469,116.5322,Boy
841,66.90594,141.9947,GIRL
842,67.838,132.1304,GIRL
843,68.09614,135.2607,GIRL
844,66.14093,127.0684,GIRL
845,71.16386,129.844,Boy
846,67.55757,134.5066,GIRL
847,70.01279,121.3609,Boy
848,72.56431,143.1486,Boy
849,66.60224,124.7741,GIRL
850,68.51802,120.1546,Boy
851,66.34638,139.4163,GIRL
